Name,Spec,Title,Email,Site
,,"    
          Associate Professor    ",,https://polisci.wustl.edu/faculty/daniel-butler
,,"    
          Thomas F. Eagleton University Professor of Public Affairs and Political Science    ",,https://polisci.wustl.edu/Randall_Calvert
,,"    
          Associate Professor    ",,https://polisci.wustl.edu/faculty/justin-fox
,,"    
          Sidney W. Souers Professor of Government    ",,https://polisci.wustl.edu/James_Gibson
,,"    
          Professor    ",,https://polisci.wustl.edu/William_Lowry
,,"    
          Professor Emeritus    ",,https://polisci.wustl.edu/GaryJ_Miller
,,"    
          Assistant Professor    ",,https://polisci.wustl.edu/faculty/jacob-montgomery
,,"    
          Assistant Professor    ",,https://polisci.wustl.edu/faculty/andrew-reeves
,,"    
          Assistant Professor    ",,https://polisci.wustl.edu/faculty/jon-rogowski
,,"    
          Postdoctoral Research Associate    ",,https://polisci.wustl.edu/faculty/emily-schilling
,,"    
          Associate Professor    ",,https://polisci.wustl.edu/faculty/betsy-sinclair
,,"    
          Kate M. Gregg Distinguished Professor of Social Science    ",,https://polisci.wustl.edu/steven_smith
,,"    
          Sidney W. Souers Professor of Government    ",,https://polisci.wustl.edu/james_spriggs
,,"    
          Postdoctoral Research Associate    ",,https://polisci.wustl.edu/faculty/miranda-yaver
,,"    
          Assistant Professor    ",,https://polisci.wustl.edu/Dawn_Brancati
,,"    
          Professor    ",,https://polisci.wustl.edu/Brian_Crisp
,,"    
          Professor, Department of Political Science    ",,https://polisci.wustl.edu/Matthew_Gabel
,,"    
          Sidney W. Souers Professor of Government    ",,https://polisci.wustl.edu/James_Gibson
,,"    
          Associate Professor    ",,https://polisci.wustl.edu/Sunita_Parikh
,,"    
          Associate Professor, Department of Political Science    ",,https://polisci.wustl.edu/guillermo_rosas
,,"    
          Dr. William Taussig Professor of Political Economy    ",,https://polisci.wustl.edu/norman_schofield
,,"    
          Professor, Department of Political Science    ",,https://polisci.wustl.edu/itai_sened
,,"    
          Professor    ",,https://polisci.wustl.edu/margit_tavits
,,"    
          Thomas F. Eagleton University Professor of Public Affairs and Political Science    ",,https://polisci.wustl.edu/Randall_Calvert
,,"    
          Associate Professor    ",,https://polisci.wustl.edu/faculty/justin-fox
,,"    
          Dr. William Taussig Professor of Political Economy    ",,https://polisci.wustl.edu/norman_schofield
,,"    
          Professor, Department of Political Science    ",,https://polisci.wustl.edu/itai_sened
,,"    
          Postdoctoral Research Associate    ",,https://polisci.wustl.edu/faculty/andrey-tomashevskiy
,,"    
          Professor, Department of Political Science, Arts & Sciences    ",,https://polisci.wustl.edu/Jeff_Gill
,,"    
          Assistant Professor    ",,https://polisci.wustl.edu/faculty/jacob-montgomery
,,"    
          Associate Professor    ",,https://polisci.wustl.edu/faculty/betsy-sinclair
,,"    
          Postdoctoral Research Associate    ",,https://polisci.wustl.edu/faculty/miranda-yaver
,,"    
          Associate Professor, Political Science    ",,https://polisci.wustl.edu/ClarissaRile_Hayward
,,"    
          Associate Professor    ",,https://polisci.wustl.edu/Frank_Lovett
,,"    
          Associate Professor    ",,https://polisci.wustl.edu/IanR_MacMullen
,,"    
          Associate Professor    ",,https://polisci.wustl.edu/andrew_rehfeld
